PDB   Pock     Target Vol  Pock Vol   Int Vol  Int%  #hits       Exp. Method                       Cofactor(s)                 Protein Name
5SOT  pocket3  1166.496   219.3477   218.186  0.187       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOJ  pocket14 1166.496   372.3881   366.058  0.313       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOU  pocket11 1166.496   357.3707   352.079  0.301       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOM  pocket15 1166.496   373.4898   367.219  0.314       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOI  pocket9  1166.496   427.4006   411.948  0.353       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOS  pocket18 1166.496   312.9413   308.495  0.264       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOX  pocket11 1166.496   279.9157   277.089  0.237       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOU  pocket5  1166.496   220.7285   219.623  0.188       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SON  pocket13 1166.496   231.2720   230.254  0.197       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOR  pocket11 1166.496   342.5696   329.598  0.282       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOX  pocket13 1166.496   378.4714   370.570  0.317       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOT  pocket18 1166.496   216.7398   215.031  0.184       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOW  pocket17 1166.496   205.8319   204.869  0.175       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SON  pocket20 1166.496   222.9120   221.265  0.189       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOO  pocket2  1166.496   324.2740   316.377  0.271       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOO  pocket16 1166.496   215.1485   213.821  0.183       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOO  pocket3  1166.496   199.5201   198.834  0.170       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOZ  pocket21 1166.496   221.6177   220.184  0.188       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SON  pocket7  1166.496   307.1714   304.328  0.260       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOY  pocket8  1166.496   209.7075   208.999  0.179       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOM  pocket22 1166.496   235.1924   233.979  0.200       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOM  pocket24 1166.496   250.5711   248.510  0.213       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOP  pocket19 1166.496   229.5649   228.686  0.196       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOM  pocket8  1166.496   355.9545   351.356  0.301       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOW  pocket12 1166.496   251.0876   249.386  0.213       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOS  pocket15 1166.496   345.0799   340.525  0.291       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOW  pocket15 1166.496   207.1931   205.934  0.176       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOV  pocket8  1166.496   316.1398   311.020  0.266       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOP  pocket8  1166.496   280.5898   277.488  0.237       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOI  pocket21 1166.496   203.7690   202.218  0.173       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOS  pocket4  1166.496   279.6397   277.320  0.237       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOM  pocket20 1166.496   234.0260   233.042  0.199       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOP  pocket14 1166.496   303.4798   301.719  0.258       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOZ  pocket9  1166.496   309.0062   306.647  0.262       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOQ  pocket13 1166.496   306.7321   302.699  0.259       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOM  pocket18 1166.496   285.5667   283.287  0.242       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SON  pocket16 1166.496   233.1494   232.024  0.198       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOO  pocket8  1166.496   372.3331   364.602  0.312       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOJ  pocket20 1166.496   157.9719   157.028  0.134       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOI  pocket17 1166.496   215.2069   214.014  0.183       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOY  pocket4  1166.496   370.3291   361.306  0.309       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOK  pocket5  1166.496   218.7290   217.578  0.186       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
